"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+2.83000000000E+008, -1.23943021006E+001, +0.00000000000E+000
+2.83018750000E+008, -1.24732264093E+001, +0.00000000000E+000
+2.83037500000E+008, -1.25525756340E+001, +0.00000000000E+000
+2.83056250000E+008, -1.26370149092E+001, +0.00000000000E+000
+2.83075000000E+008, -1.27185072063E+001, +0.00000000000E+000
+2.83093750000E+008, -1.28016872268E+001, +0.00000000000E+000
+2.83112500000E+008, -1.28869308989E+001, +0.00000000000E+000
+2.83131250000E+008, -1.29760847475E+001, +0.00000000000E+000
+2.83150000000E+008, -1.30639802967E+001, +0.00000000000E+000
+2.83168750000E+008, -1.31528751835E+001, +0.00000000000E+000
+2.83187500000E+008, -1.32489294716E+001, +0.00000000000E+000
+2.83206250000E+008, -1.33438081740E+001, +0.00000000000E+000
+2.83225000000E+008, -1.34359121154E+001, +0.00000000000E+000
+2.83243750000E+008, -1.35340196095E+001, +0.00000000000E+000
+2.83262500000E+008, -1.36335240427E+001, +0.00000000000E+000
+2.83281250000E+008, -1.37336960692E+001, +0.00000000000E+000
+2.83300000000E+008, -1.38341958743E+001, +0.00000000000E+000
+2.83318750000E+008, -1.39370600536E+001, +0.00000000000E+000
+2.83337500000E+008, -1.40372206874E+001, +0.00000000000E+000
+2.83356250000E+008, -1.41511530755E+001, +0.00000000000E+000
+2.83375000000E+008, -1.42580898804E+001, +0.00000000000E+000
+2.83393750000E+008, -1.43620846496E+001, +0.00000000000E+000
+2.83412500000E+008, -1.44704087950E+001, +0.00000000000E+000
+2.83431250000E+008, -1.45865426592E+001, +0.00000000000E+000
+2.83450000000E+008, -1.46995293999E+001, +0.00000000000E+000
+2.83468750000E+008, -1.48167223633E+001, +0.00000000000E+000
+2.83487500000E+008, -1.49333724982E+001, +0.00000000000E+000
+2.83506250000E+008, -1.50511217008E+001, +0.00000000000E+000
+2.83525000000E+008, -1.51658221068E+001, +0.00000000000E+000
+2.83543750000E+008, -1.52899428827E+001, +0.00000000000E+000
+2.83562500000E+008, -1.54066876305E+001, +0.00000000000E+000
+2.83581250000E+008, -1.55295200027E+001, +0.00000000000E+000
+2.83600000000E+008, -1.56547381619E+001, +0.00000000000E+000
+2.83618750000E+008, -1.57791683391E+001, +0.00000000000E+000
+2.83637500000E+008, -1.59074944147E+001, +0.00000000000E+000
+2.83656250000E+008, -1.60302281688E+001, +0.00000000000E+000
+2.83675000000E+008, -1.61579703302E+001, +0.00000000000E+000
+2.83693750000E+008, -1.62859417933E+001, +0.00000000000E+000
