"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.83000000000E+008, +3.78346585707E-001, -1.67990244607E+002
+2.83018750000E+008, +3.78603088428E-001, -1.67919331673E+002
+2.83037500000E+008, +3.78745982595E-001, -1.67890962842E+002
+2.83056250000E+008, +3.78913265767E-001, -1.67813729243E+002
+2.83075000000E+008, +3.79165555568E-001, -1.67743529653E+002
+2.83093750000E+008, +3.79202763958E-001, -1.67672800967E+002
+2.83112500000E+008, +3.79220074073E-001, -1.67599527540E+002
+2.83131250000E+008, +3.79387314185E-001, -1.67531391121E+002
+2.83150000000E+008, +3.79416861191E-001, -1.67441003118E+002
+2.83168750000E+008, +3.79411790284E-001, -1.67350693086E+002
+2.83187500000E+008, +3.79352363025E-001, -1.67260736415E+002
+2.83206250000E+008, +3.79263506257E-001, -1.67161897476E+002
+2.83225000000E+008, +3.79253956355E-001, -1.67052582157E+002
+2.83243750000E+008, +3.79256921870E-001, -1.66937639595E+002
+2.83262500000E+008, +3.79041449514E-001, -1.66814262734E+002
+2.83281250000E+008, +3.79038816378E-001, -1.66683448334E+002
+2.83300000000E+008, +3.78904592122E-001, -1.66558623243E+002
+2.83318750000E+008, +3.78717664932E-001, -1.66432587898E+002
+2.83337500000E+008, +3.78503447729E-001, -1.66290714558E+002
+2.83356250000E+008, +3.78286304562E-001, -1.66144090704E+002
+2.83375000000E+008, +3.78102482056E-001, -1.65987481553E+002
+2.83393750000E+008, +3.77964565414E-001, -1.65829396765E+002
+2.83412500000E+008, +3.77740475799E-001, -1.65668439645E+002
+2.83431250000E+008, +3.77594048789E-001, -1.65499882715E+002
+2.83450000000E+008, +3.77320883722E-001, -1.65341448000E+002
+2.83468750000E+008, +3.77094242683E-001, -1.65174212984E+002
+2.83487500000E+008, +3.76722955709E-001, -1.64979363565E+002
+2.83506250000E+008, +3.76473564072E-001, -1.64789559207E+002
+2.83525000000E+008, +3.76193345064E-001, -1.64594215114E+002
+2.83543750000E+008, +3.76028573253E-001, -1.64387220457E+002
+2.83562500000E+008, +3.75720978517E-001, -1.64175422120E+002
+2.83581250000E+008, +3.75464433399E-001, -1.63965449557E+002
+2.83600000000E+008, +3.75137832092E-001, -1.63764044723E+002
+2.83618750000E+008, +3.74917505941E-001, -1.63519373955E+002
+2.83637500000E+008, +3.74643385562E-001, -1.63294405456E+002
+2.83656250000E+008, +3.74356436211E-001, -1.63068586768E+002
+2.83675000000E+008, +3.74118174955E-001, -1.62819375968E+002
+2.83693750000E+008, +3.73946171425E-001, -1.62567181818E+002
+2.83712500000E+008, +3.73674720280E-001, -1.62331958410E+002
+2.83731250000E+008, +3.73418966727E-001, -1.62060276540E+002
+2.83750000000E+008, +3.73212561350E-001, -1.61820002116E+002
+2.83768750000E+008, +3.73027116929E-001, -1.61543528611E+002
+2.83787500000E+008, +3.72758091673E-001, -1.61273327074E+002
+2.83806250000E+008, +3.72647170511E-001, -1.60994925395E+002
+2.83825000000E+008, +3.72454032913E-001, -1.60698567011E+002
+2.83843750000E+008, +3.72221434597E-001, -1.60418596427E+002
+2.83862500000E+008, +3.72144357050E-001, -1.60125792688E+002
+2.83881250000E+008, +3.72006708347E-001, -1.59845525699E+002
+2.83900000000E+008, +3.71929013566E-001, -1.59535943377E+002
+2.83918750000E+008, +3.71750760701E-001, -1.59234940488E+002
+2.83937500000E+008, +3.71743194165E-001, -1.58922621180E+002
+2.83956250000E+008, +3.71622888515E-001, -1.58597021287E+002
+2.83975000000E+008, +3.71578441842E-001, -1.58282153130E+002
+2.83993750000E+008, +3.71564604431E-001, -1.57965311232E+002
+2.84012500000E+008, +3.71637543819E-001, -1.57640948076E+002
+2.84031250000E+008, +3.71632027347E-001, -1.57322945449E+002
+2.84050000000E+008, +3.71640888731E-001, -1.56986505914E+002
+2.84068750000E+008, +3.71776825961E-001, -1.56647991875E+002
+2.84087500000E+008, +3.71916987743E-001, -1.56312864670E+002
+2.84106250000E+008, +3.72098106208E-001, -1.55973449328E+002
+2.84125000000E+008, +3.72174221311E-001, -1.55613974930E+002
+2.84143750000E+008, +3.72432510230E-001, -1.55275421735E+002
+2.84162500000E+008, +3.72700750071E-001, -1.54923596643E+002
+2.84181250000E+008, +3.72923767484E-001, -1.54570503788E+002
+2.84200000000E+008, +3.73156572728E-001, -1.54212200579E+002
+2.84218750000E+008, +3.73448818400E-001, -1.53846018158E+002
+2.84237500000E+008, +3.73787861804E-001, -1.53492529854E+002
+2.84256250000E+008, +3.74179766101E-001, -1.53121545796E+002
+2.84275000000E+008, +3.74660407472E-001, -1.52761632645E+002
+2.84293750000E+008, +3.75125114001E-001, -1.52402630845E+002
+2.84312500000E+008, +3.75552615466E-001, -1.52028797690E+002
+2.84331250000E+008, +3.76085690212E-001, -1.51673465014E+002
+2.84350000000E+008, +3.76589079407E-001, -1.51293811186E+002
+2.84368750000E+008, +3.77159664560E-001, -1.50924637437E+002
+2.84387500000E+008, +3.77735266860E-001, -1.50574320614E+002
+2.84406250000E+008, +3.78319380794E-001, -1.50203500822E+002
+2.84425000000E+008, +3.79072921117E-001, -1.49847016069E+002
+2.84443750000E+008, +3.79726571473E-001, -1.49474252092E+002
+2.84462500000E+008, +3.80504301961E-001, -1.49098884951E+002
+2.84481250000E+008, +3.81198732617E-001, -1.48729911051E+002
+2.84500000000E+008, +3.82012810327E-001, -1.48381397164E+002
+2.84518750000E+008, +3.82834610184E-001, -1.48023566256E+002
+2.84537500000E+008, +3.83693661077E-001, -1.47643078620E+002
+2.84556250000E+008, +3.84509660099E-001, -1.47302500810E+002
