"# Channel 1"
"# Trace 3"
Frequency, Formatted Data, Formatted Data
+2.83000000000E+008, -8.43989426271E+000, +0.00000000000E+000
+2.83018750000E+008, -8.43320143030E+000, +0.00000000000E+000
+2.83037500000E+008, -8.43083656547E+000, +0.00000000000E+000
+2.83056250000E+008, -8.42639516093E+000, +0.00000000000E+000
+2.83075000000E+008, -8.42392103777E+000, +0.00000000000E+000
+2.83093750000E+008, -8.41849833385E+000, +0.00000000000E+000
+2.83112500000E+008, -8.41870882719E+000, +0.00000000000E+000
+2.83131250000E+008, -8.41753851009E+000, +0.00000000000E+000
+2.83150000000E+008, -8.41619351352E+000, +0.00000000000E+000
+2.83168750000E+008, -8.41585817351E+000, +0.00000000000E+000
+2.83187500000E+008, -8.41523911328E+000, +0.00000000000E+000
+2.83206250000E+008, -8.41971299946E+000, +0.00000000000E+000
+2.83225000000E+008, -8.41921131771E+000, +0.00000000000E+000
+2.83243750000E+008, -8.42195389275E+000, +0.00000000000E+000
+2.83262500000E+008, -8.42412856546E+000, +0.00000000000E+000
+2.83281250000E+008, -8.42622389716E+000, +0.00000000000E+000
+2.83300000000E+008, -8.42903961829E+000, +0.00000000000E+000
+2.83318750000E+008, -8.43447945285E+000, +0.00000000000E+000
+2.83337500000E+008, -8.43743663253E+000, +0.00000000000E+000
+2.83356250000E+008, -8.44152954065E+000, +0.00000000000E+000
+2.83375000000E+008, -8.44487184154E+000, +0.00000000000E+000
+2.83393750000E+008, -8.44956577041E+000, +0.00000000000E+000
+2.83412500000E+008, -8.45517843955E+000, +0.00000000000E+000
+2.83431250000E+008, -8.45930985477E+000, +0.00000000000E+000
+2.83450000000E+008, -8.46645496724E+000, +0.00000000000E+000
+2.83468750000E+008, -8.47065811869E+000, +0.00000000000E+000
+2.83487500000E+008, -8.47849350925E+000, +0.00000000000E+000
+2.83506250000E+008, -8.48510947586E+000, +0.00000000000E+000
+2.83525000000E+008, -8.49045251221E+000, +0.00000000000E+000
+2.83543750000E+008, -8.49583591169E+000, +0.00000000000E+000
+2.83562500000E+008, -8.49961194350E+000, +0.00000000000E+000
+2.83581250000E+008, -8.50720428615E+000, +0.00000000000E+000
+2.83600000000E+008, -8.51283012858E+000, +0.00000000000E+000
+2.83618750000E+008, -8.51941462017E+000, +0.00000000000E+000
+2.83637500000E+008, -8.52592373391E+000, +0.00000000000E+000
+2.83656250000E+008, -8.53386020324E+000, +0.00000000000E+000
+2.83675000000E+008, -8.53642412860E+000, +0.00000000000E+000
+2.83693750000E+008, -8.54280446632E+000, +0.00000000000E+000
+2.83712500000E+008, -8.54925779270E+000, +0.00000000000E+000
+2.83731250000E+008, -8.55500803136E+000, +0.00000000000E+000
+2.83750000000E+008, -8.55625605614E+000, +0.00000000000E+000
+2.83768750000E+008, -8.56458196938E+000, +0.00000000000E+000
+2.83787500000E+008, -8.56889349381E+000, +0.00000000000E+000
+2.83806250000E+008, -8.57467422409E+000, +0.00000000000E+000
+2.83825000000E+008, -8.57832593198E+000, +0.00000000000E+000
+2.83843750000E+008, -8.57989623805E+000, +0.00000000000E+000
+2.83862500000E+008, -8.58541593123E+000, +0.00000000000E+000
+2.83881250000E+008, -8.58781244639E+000, +0.00000000000E+000
+2.83900000000E+008, -8.59212116713E+000, +0.00000000000E+000
+2.83918750000E+008, -8.59145204352E+000, +0.00000000000E+000
+2.83937500000E+008, -8.59495732180E+000, +0.00000000000E+000
+2.83956250000E+008, -8.59497938806E+000, +0.00000000000E+000
+2.83975000000E+008, -8.59936073649E+000, +0.00000000000E+000
+2.83993750000E+008, -8.59699054288E+000, +0.00000000000E+000
+2.84012500000E+008, -8.59639947782E+000, +0.00000000000E+000
+2.84031250000E+008, -8.59518343891E+000, +0.00000000000E+000
+2.84050000000E+008, -8.59384860619E+000, +0.00000000000E+000
+2.84068750000E+008, -8.59032301380E+000, +0.00000000000E+000
+2.84087500000E+008, -8.58975544341E+000, +0.00000000000E+000
+2.84106250000E+008, -8.58548193585E+000, +0.00000000000E+000
+2.84125000000E+008, -8.58023825306E+000, +0.00000000000E+000
+2.84143750000E+008, -8.57675715925E+000, +0.00000000000E+000
+2.84162500000E+008, -8.56986562775E+000, +0.00000000000E+000
+2.84181250000E+008, -8.56563356400E+000, +0.00000000000E+000
+2.84200000000E+008, -8.56016705057E+000, +0.00000000000E+000
+2.84218750000E+008, -8.55321541552E+000, +0.00000000000E+000
+2.84237500000E+008, -8.54589459874E+000, +0.00000000000E+000
+2.84256250000E+008, -8.53632218973E+000, +0.00000000000E+000
+2.84275000000E+008, -8.52473464560E+000, +0.00000000000E+000
+2.84293750000E+008, -8.51589831488E+000, +0.00000000000E+000
+2.84312500000E+008, -8.50389940265E+000, +0.00000000000E+000
+2.84331250000E+008, -8.49334453304E+000, +0.00000000000E+000
+2.84350000000E+008, -8.48010302721E+000, +0.00000000000E+000
+2.84368750000E+008, -8.46762802720E+000, +0.00000000000E+000
+2.84387500000E+008, -8.45394690790E+000, +0.00000000000E+000
+2.84406250000E+008, -8.43896463458E+000, +0.00000000000E+000
+2.84425000000E+008, -8.42559196031E+000, +0.00000000000E+000
+2.84443750000E+008, -8.40762547690E+000, +0.00000000000E+000
+2.84462500000E+008, -8.39162353191E+000, +0.00000000000E+000
+2.84481250000E+008, -8.37283136551E+000, +0.00000000000E+000
+2.84500000000E+008, -8.35610315683E+000, +0.00000000000E+000
+2.84518750000E+008, -8.33871062917E+000, +0.00000000000E+000
+2.84537500000E+008, -8.31792141586E+000, +0.00000000000E+000
+2.84556250000E+008, -8.30015830968E+000, +0.00000000000E+000
+2.84575000000E+008, -8.27659468078E+000, +0.00000000000E+000
+2.84593750000E+008, -8.25586724655E+000, +0.00000000000E+000
+2.84612500000E+008, -8.23392804385E+000, +0.00000000000E+000
+2.84631250000E+008, -8.21110445721E+000, +0.00000000000E+000
+2.84650000000E+008, -8.18825943056E+000, +0.00000000000E+000
+2.84668750000E+008, -8.16520544647E+000, +0.00000000000E+000
+2.84687500000E+008, -8.14024671298E+000, +0.00000000000E+000
+2.84706250000E+008, -8.11454433166E+000, +0.00000000000E+000
+2.84725000000E+008, -8.08928069373E+000, +0.00000000000E+000
+2.84743750000E+008, -8.06284848479E+000, +0.00000000000E+000
+2.84762500000E+008, -8.03600598510E+000, +0.00000000000E+000
+2.84781250000E+008, -8.01096566352E+000, +0.00000000000E+000
+2.84800000000E+008, -7.98364213591E+000, +0.00000000000E+000
+2.84818750000E+008, -7.95558278008E+000, +0.00000000000E+000
+2.84837500000E+008, -7.92874585287E+000, +0.00000000000E+000
+2.84856250000E+008, -7.89922899420E+000, +0.00000000000E+000
+2.84875000000E+008, -7.87157033069E+000, +0.00000000000E+000
+2.84893750000E+008, -7.84276662489E+000, +0.00000000000E+000
+2.84912500000E+008, -7.81211551071E+000, +0.00000000000E+000
+2.84931250000E+008, -7.78176006747E+000, +0.00000000000E+000
+2.84950000000E+008, -7.75251756020E+000, +0.00000000000E+000
+2.84968750000E+008, -7.72383842371E+000, +0.00000000000E+000
+2.84987500000E+008, -7.69485838222E+000, +0.00000000000E+000
+2.85006250000E+008, -7.66492083927E+000, +0.00000000000E+000
+2.85025000000E+008, -7.63183661183E+000, +0.00000000000E+000
+2.85043750000E+008, -7.60213335499E+000, +0.00000000000E+000
+2.85062500000E+008, -7.56776533858E+000, +0.00000000000E+000
+2.85081250000E+008, -7.53791703115E+000, +0.00000000000E+000
+2.85100000000E+008, -7.50679183321E+000, +0.00000000000E+000
+2.85118750000E+008, -7.47439545572E+000, +0.00000000000E+000
+2.85137500000E+008, -7.44516307963E+000, +0.00000000000E+000
+2.85156250000E+008, -7.41318096450E+000, +0.00000000000E+000
+2.85175000000E+008, -7.38250721820E+000, +0.00000000000E+000
+2.85193750000E+008, -7.34996654311E+000, +0.00000000000E+000
+2.85212500000E+008, -7.31855946961E+000, +0.00000000000E+000
+2.85231250000E+008, -7.28800801112E+000, +0.00000000000E+000
+2.85250000000E+008, -7.25690518735E+000, +0.00000000000E+000
+2.85268750000E+008, -7.22428769568E+000, +0.00000000000E+000
+2.85287500000E+008, -7.19475626156E+000, +0.00000000000E+000
+2.85306250000E+008, -7.16485218253E+000, +0.00000000000E+000
+2.85325000000E+008, -7.13261511632E+000, +0.00000000000E+000
+2.85343750000E+008, -7.10406489336E+000, +0.00000000000E+000
+2.85362500000E+008, -7.07265146065E+000, +0.00000000000E+000
+2.85381250000E+008, -7.04332788211E+000, +0.00000000000E+000
+2.85400000000E+008, -7.01219566783E+000, +0.00000000000E+000
+2.85418750000E+008, -6.98413992274E+000, +0.00000000000E+000
+2.85437500000E+008, -6.95334414764E+000, +0.00000000000E+000
+2.85456250000E+008, -6.92409847083E+000, +0.00000000000E+000
+2.85475000000E+008, -6.89634823846E+000, +0.00000000000E+000
+2.85493750000E+008, -6.86861905423E+000, +0.00000000000E+000
+2.85512500000E+008, -6.84090712073E+000, +0.00000000000E+000
+2.85531250000E+008, -6.81079002121E+000, +0.00000000000E+000
+2.85550000000E+008, -6.78486711291E+000, +0.00000000000E+000
+2.85568750000E+008, -6.75830327278E+000, +0.00000000000E+000
+2.85587500000E+008, -6.73208837540E+000, +0.00000000000E+000
+2.85606250000E+008, -6.70592651586E+000, +0.00000000000E+000
+2.85625000000E+008, -6.68013521804E+000, +0.00000000000E+000
+2.85643750000E+008, -6.65476170395E+000, +0.00000000000E+000
+2.85662500000E+008, -6.63004162622E+000, +0.00000000000E+000
+2.85681250000E+008, -6.60629340813E+000, +0.00000000000E+000
+2.85700000000E+008, -6.58155126228E+000, +0.00000000000E+000
+2.85718750000E+008, -6.55916420243E+000, +0.00000000000E+000
+2.85737500000E+008, -6.53826928358E+000, +0.00000000000E+000
+2.85756250000E+008, -6.51531925688E+000, +0.00000000000E+000
+2.85775000000E+008, -6.49524021327E+000, +0.00000000000E+000
+2.85793750000E+008, -6.47213533958E+000, +0.00000000000E+000
+2.85812500000E+008, -6.45146039596E+000, +0.00000000000E+000
+2.85831250000E+008, -6.43123720076E+000, +0.00000000000E+000
+2.85850000000E+008, -6.41370067904E+000, +0.00000000000E+000
+2.85868750000E+008, -6.39442341954E+000, +0.00000000000E+000
+2.85887500000E+008, -6.37502162878E+000, +0.00000000000E+000
+2.85906250000E+008, -6.35778745932E+000, +0.00000000000E+000
+2.85925000000E+008, -6.34046088444E+000, +0.00000000000E+000
+2.85943750000E+008, -6.32413430388E+000, +0.00000000000E+000
+2.85962500000E+008, -6.30962564101E+000, +0.00000000000E+000
+2.85981250000E+008, -6.29289349322E+000, +0.00000000000E+000
+2.86000000000E+008, -6.27877009718E+000, +0.00000000000E+000
+2.86018750000E+008, -6.26600135391E+000, +0.00000000000E+000
+2.86037500000E+008, -6.25432602704E+000, +0.00000000000E+000
+2.86056250000E+008, -6.24044809713E+000, +0.00000000000E+000
+2.86075000000E+008, -6.22935796405E+000, +0.00000000000E+000
+2.86093750000E+008, -6.21970623539E+000, +0.00000000000E+000
+2.86112500000E+008, -6.20820156065E+000, +0.00000000000E+000
+2.86131250000E+008, -6.19861034487E+000, +0.00000000000E+000
+2.86150000000E+008, -6.18955922113E+000, +0.00000000000E+000
+2.86168750000E+008, -6.18178521391E+000, +0.00000000000E+000
+2.86187500000E+008, -6.17695182808E+000, +0.00000000000E+000
+2.86206250000E+008, -6.17024229591E+000, +0.00000000000E+000
+2.86225000000E+008, -6.16530945206E+000, +0.00000000000E+000
+2.86243750000E+008, -6.16013720992E+000, +0.00000000000E+000
+2.86262500000E+008, -6.15391445504E+000, +0.00000000000E+000
+2.86281250000E+008, -6.15227669390E+000, +0.00000000000E+000
+2.86300000000E+008, -6.15086368284E+000, +0.00000000000E+000
+2.86318750000E+008, -6.15026825408E+000, +0.00000000000E+000
+2.86337500000E+008, -6.14903467621E+000, +0.00000000000E+000
+2.86356250000E+008, -6.14642750950E+000, +0.00000000000E+000
+2.86375000000E+008, -6.14811962641E+000, +0.00000000000E+000
+2.86393750000E+008, -6.15034110005E+000, +0.00000000000E+000
+2.86412500000E+008, -6.15442174994E+000, +0.00000000000E+000
+2.86431250000E+008, -6.15768371749E+000, +0.00000000000E+000
+2.86450000000E+008, -6.16340177348E+000, +0.00000000000E+000
+2.86468750000E+008, -6.16649781545E+000, +0.00000000000E+000
+2.86487500000E+008, -6.17411000776E+000, +0.00000000000E+000
+2.86506250000E+008, -6.18138376404E+000, +0.00000000000E+000
+2.86525000000E+008, -6.18966203440E+000, +0.00000000000E+000
+2.86543750000E+008, -6.19816040709E+000, +0.00000000000E+000
+2.86562500000E+008, -6.20852411265E+000, +0.00000000000E+000
+2.86581250000E+008, -6.22092219548E+000, +0.00000000000E+000
+2.86600000000E+008, -6.23287121040E+000, +0.00000000000E+000
+2.86618750000E+008, -6.24592885520E+000, +0.00000000000E+000
+2.86637500000E+008, -6.25809804316E+000, +0.00000000000E+000
+2.86656250000E+008, -6.27551611524E+000, +0.00000000000E+000
+2.86675000000E+008, -6.29144555862E+000, +0.00000000000E+000
+2.86693750000E+008, -6.30768164354E+000, +0.00000000000E+000
+2.86712500000E+008, -6.32582579891E+000, +0.00000000000E+000
+2.86731250000E+008, -6.34508322958E+000, +0.00000000000E+000
+2.86750000000E+008, -6.36480276488E+000, +0.00000000000E+000
+2.86768750000E+008, -6.38439020374E+000, +0.00000000000E+000
+2.86787500000E+008, -6.40837988279E+000, +0.00000000000E+000
+2.86806250000E+008, -6.43011184800E+000, +0.00000000000E+000
+2.86825000000E+008, -6.45389593781E+000, +0.00000000000E+000
+2.86843750000E+008, -6.48045618422E+000, +0.00000000000E+000
+2.86862500000E+008, -6.50581068910E+000, +0.00000000000E+000
+2.86881250000E+008, -6.53374179593E+000, +0.00000000000E+000
+2.86900000000E+008, -6.56117084151E+000, +0.00000000000E+000
+2.86918750000E+008, -6.59172239977E+000, +0.00000000000E+000
+2.86937500000E+008, -6.62128070687E+000, +0.00000000000E+000
+2.86956250000E+008, -6.65210918827E+000, +0.00000000000E+000
+2.86975000000E+008, -6.68545209387E+000, +0.00000000000E+000
+2.86993750000E+008, -6.71787614161E+000, +0.00000000000E+000
+2.87012500000E+008, -6.75323128241E+000, +0.00000000000E+000
+2.87031250000E+008, -6.78837472100E+000, +0.00000000000E+000
+2.87050000000E+008, -6.82606367109E+000, +0.00000000000E+000
+2.87068750000E+008, -6.86395201799E+000, +0.00000000000E+000
+2.87087500000E+008, -6.90011015284E+000, +0.00000000000E+000
+2.87106250000E+008, -6.94011941907E+000, +0.00000000000E+000
+2.87125000000E+008, -6.98127355785E+000, +0.00000000000E+000
+2.87143750000E+008, -7.02362615970E+000, +0.00000000000E+000
