"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+2.84781250000E+008, +1.83635864021E-001, -5.46129517714E+001
+2.84800000000E+008, +1.85171677040E-001, -5.59129791892E+001
+2.84818750000E+008, +1.86546991957E-001, -5.72277827956E+001
+2.84837500000E+008, +1.88046251762E-001, -5.85487434040E+001
+2.84856250000E+008, +1.89547706777E-001, -5.98208974747E+001
+2.84875000000E+008, +1.91106405878E-001, -6.10836123151E+001
+2.84893750000E+008, +1.92614790326E-001, -6.23168813483E+001
+2.84912500000E+008, +1.94218242067E-001, -6.35819027371E+001
+2.84931250000E+008, +1.95873169079E-001, -6.48025980449E+001
+2.84950000000E+008, +1.97499230941E-001, -6.60061286189E+001
+2.84968750000E+008, +1.99264161255E-001, -6.71876413636E+001
+2.84987500000E+008, +2.00877745522E-001, -6.83808123768E+001
+2.85006250000E+008, +2.02614731561E-001, -6.95252939473E+001
+2.85025000000E+008, +2.04282748626E-001, -7.06704169742E+001
+2.85043750000E+008, +2.06047247551E-001, -7.17918692134E+001
+2.85062500000E+008, +2.07776574324E-001, -7.29128536327E+001
+2.85081250000E+008, +2.09551846840E-001, -7.40334940770E+001
+2.85100000000E+008, +2.11298003946E-001, -7.51010372106E+001
+2.85118750000E+008, +2.13073111387E-001, -7.61913474009E+001
+2.85137500000E+008, +2.14769583765E-001, -7.72648607539E+001
+2.85156250000E+008, +2.16706986502E-001, -7.83224871707E+001
+2.85175000000E+008, +2.18499822033E-001, -7.93831305415E+001
+2.85193750000E+008, +2.20293119814E-001, -8.04015764446E+001
+2.85212500000E+008, +2.22238072056E-001, -8.14109171608E+001
+2.85231250000E+008, +2.24006213605E-001, -8.24223706742E+001
+2.85250000000E+008, +2.25836477884E-001, -8.34233425907E+001
+2.85268750000E+008, +2.27737550760E-001, -8.43679238763E+001
+2.85287500000E+008, +2.29575372306E-001, -8.53574730455E+001
+2.85306250000E+008, +2.31423579544E-001, -8.63216807105E+001
+2.85325000000E+008, +2.33230690635E-001, -8.72713388674E+001
+2.85343750000E+008, +2.35088892948E-001, -8.82038075601E+001
+2.85362500000E+008, +2.36981212050E-001, -8.91494548922E+001
+2.85381250000E+008, +2.38756839342E-001, -9.00352730050E+001
+2.85400000000E+008, +2.40613934875E-001, -9.09764119879E+001
+2.85418750000E+008, +2.42485791214E-001, -9.18771248394E+001
+2.85437500000E+008, +2.44343528518E-001, -9.27866779714E+001
+2.85456250000E+008, +2.46171368858E-001, -9.36483067182E+001
+2.85475000000E+008, +2.48069238245E-001, -9.45387180360E+001
+2.85493750000E+008, +2.49899089770E-001, -9.53788214622E+001
+2.85512500000E+008, +2.51738946982E-001, -9.62526025436E+001
+2.85531250000E+008, +2.53627045657E-001, -9.70839540781E+001
+2.85550000000E+008, +2.55458978630E-001, -9.79271748685E+001
+2.85568750000E+008, +2.57360193143E-001, -9.87532570533E+001
+2.85587500000E+008, +2.59158542473E-001, -9.95735648571E+001
+2.85606250000E+008, +2.61009070150E-001, -1.00410555956E+002
+2.85625000000E+008, +2.62740106556E-001, -1.01210191828E+002
+2.85643750000E+008, +2.64671718420E-001, -1.02012734872E+002
+2.85662500000E+008, +2.66473231133E-001, -1.02789694549E+002
+2.85681250000E+008, +2.68294632170E-001, -1.03596853293E+002
+2.85700000000E+008, +2.70086393301E-001, -1.04392044638E+002
+2.85718750000E+008, +2.71859750434E-001, -1.05153147274E+002
+2.85737500000E+008, +2.73683458825E-001, -1.05923117783E+002
+2.85756250000E+008, +2.75477496057E-001, -1.06685631427E+002
+2.85775000000E+008, +2.77224844227E-001, -1.07436515367E+002
+2.85793750000E+008, +2.79101101525E-001, -1.08189512296E+002
+2.85812500000E+008, +2.80730583713E-001, -1.08927898946E+002
+2.85831250000E+008, +2.82498677391E-001, -1.09669915693E+002
+2.85850000000E+008, +2.84346274914E-001, -1.10400980912E+002
+2.85868750000E+008, +2.86159884321E-001, -1.11124639106E+002
+2.85887500000E+008, +2.87870052154E-001, -1.11862189806E+002
+2.85906250000E+008, +2.89597207634E-001, -1.12566704240E+002
+2.85925000000E+008, +2.91291589011E-001, -1.13251921395E+002
+2.85943750000E+008, +2.93067655606E-001, -1.13947941105E+002
+2.85962500000E+008, +2.94773504309E-001, -1.14678461651E+002
+2.85981250000E+008, +2.96553001442E-001, -1.15342110856E+002
+2.86000000000E+008, +2.98199697046E-001, -1.16069278891E+002
+2.86018750000E+008, +2.99934406740E-001, -1.16723296351E+002
+2.86037500000E+008, +3.01712519080E-001, -1.17413419190E+002
+2.86056250000E+008, +3.03480630268E-001, -1.18070198283E+002
+2.86075000000E+008, +3.05053918820E-001, -1.18762099245E+002
+2.86093750000E+008, +3.06780321645E-001, -1.19436779356E+002
+2.86112500000E+008, +3.08562619714E-001, -1.20080330106E+002
+2.86131250000E+008, +3.10138903926E-001, -1.20738164459E+002
+2.86150000000E+008, +3.11805473167E-001, -1.21396773404E+002
+2.86168750000E+008, +3.13492142349E-001, -1.22039933914E+002
+2.86187500000E+008, +3.15123252700E-001, -1.22670676788E+002
+2.86206250000E+008, +3.16797282620E-001, -1.23327816820E+002
+2.86225000000E+008, +3.18478549308E-001, -1.23960633399E+002
+2.86243750000E+008, +3.20170594697E-001, -1.24579417101E+002
+2.86262500000E+008, +3.21772032110E-001, -1.25214749809E+002
+2.86281250000E+008, +3.23391714246E-001, -1.25842369380E+002
+2.86300000000E+008, +3.25154335799E-001, -1.26462123362E+002
+2.86318750000E+008, +3.26757088728E-001, -1.27074458701E+002
+2.86337500000E+008, +3.28342624953E-001, -1.27673569165E+002
+2.86356250000E+008, +3.30109433345E-001, -1.28269557387E+002
+2.86375000000E+008, +3.31744125553E-001, -1.28880423272E+002
+2.86393750000E+008, +3.33366451016E-001, -1.29488376623E+002
+2.86412500000E+008, +3.35013910566E-001, -1.30061114360E+002
+2.86431250000E+008, +3.36605308380E-001, -1.30666239792E+002
+2.86450000000E+008, +3.38199343517E-001, -1.31244113737E+002
+2.86468750000E+008, +3.39831875431E-001, -1.31833045401E+002
+2.86487500000E+008, +3.41381118303E-001, -1.32398288849E+002
+2.86506250000E+008, +3.43050720560E-001, -1.32980887823E+002
+2.86525000000E+008, +3.44718156372E-001, -1.33548038132E+002
+2.86543750000E+008, +3.46306245172E-001, -1.34122629021E+002
+2.86562500000E+008, +3.47961602847E-001, -1.34680614943E+002
+2.86581250000E+008, +3.49494366561E-001, -1.35253417415E+002
+2.86600000000E+008, +3.51185601413E-001, -1.35809489478E+002
